AthleteID,Sex,BestMedal,NSeasons
100461,F,None,2
100462,M,None,1
100463,F,None,1
100464,M,Bronze,2
100465,M,None,1
100466,M,None,1
100468,M,None,1
100469,F,None,1
10047,M,None,1
100470,M,Gold,1
100471,M,None,1
100472,F,None,1
100473,M,None,1
100474,M,None,1
100476,M,Gold,2
100477,M,None,1
100478,M,Gold,1
100479,M,None,1
10048,F,Bronze,3
100480,M,Gold,3
100481,M,None,1
100482,M,None,1
100483,M,None,1
100484,M,None,1
100485,M,None,1
100486,M,Bronze,1
100488,M,None,1
10049,M,Silver,1
100490,M,None,1
100491,M,None,1
100492,M,None,2
100493,M,Bronze,1
100494,M,None,1
100495,F,None,1
100496,F,None,2
100497,M,None,1
100498,M,None,1
100499,M,Gold,1
1005,M,None,1
10050,M,Bronze,1
100500,M,None,1
100501,M,None,1
100502,M,None,1
100503,M,None,1
100504,M,Silver,1
100505,M,None,3
100506,F,Bronze,1
100507,F,Silver,5
100508,M,None,2
100509,M,None,1
100510,M,Gold,1
100511,M,Silver,1
100512,M,None,1
100513,M,Gold,1
100514,M,None,1
100515,F,Bronze,2
100516,F,Gold,3
100517,M,Silver,1
100518,F,None,1
100519,M,None,1
10052,F,None,1
100520,M,None,1
100521,M,Bronze,1
100522,M,None,1
100524,M,None,1
100525,M,None,2
100526,M,None,1
100527,M,None,1
100528,F,None,1
100529,F,Gold,2
10053,F,None,1
100531,M,None,1
100532,M,Silver,1
100533,F,None,2
100534,M,Bronze,2
100535,M,None,1
100536,M,Bronze,4
100537,M,Silver,1
100538,M,None,1
100539,M,None,1
10054,M,None,1
100540,M,None,1
100541,F,None,2
100542,F,None,2
100543,F,None,2
100544,M,None,3
100545,M,None,1
100546,F,None,1
100547,F,None,2
100548,M,Silver,2
100549,F,Silver,1
10055,F,None,1
100550,F,None,1
100551,F,Bronze,1
100552,F,Bronze,1
100553,M,None,1
100554,M,Silver,2
100555,M,None,1
100556,M,None,1
100557,M,None,1
100558,M,None,1
100559,F,None,1
10056,M,None,1
100560,F,None,1
100561,F,None,2
100562,F,None,1
100563,M,None,1
100564,M,Gold,1
100565,F,Silver,3
100566,F,Gold,4
100567,F,Gold,4
100568,M,Gold,2
100569,M,None,1
10057,M,None,2
100570,M,Silver,3
100571,F,None,1
100572,M,None,1
100573,M,None,3
100574,M,None,1
100576,M,None,1
100577,F,Gold,4
100578,M,None,1
100579,M,None,1
10058,M,None,1
100580,M,Silver,2
100582,M,None,2
100583,F,None,1
100584,M,None,1
100585,M,None,1
100586,M,None,1
100587,M,None,2
100588,M,None,2
100589,M,Bronze,4
10059,F,None,2
100590,M,None,3
100591,M,Gold,2
100592,M,None,1
100593,F,None,1
100594,M,None,2
100595,F,None,1
100596,F,Gold,2
100597,M,None,2
100598,M,None,1
100599,M,None,1
10060,M,Gold,1
100600,M,Bronze,2
100601,M,Bronze,2
100602,F,None,1
100603,M,Silver,2
100604,M,None,1
100605,M,Silver,2
100606,M,Silver,1
100607,M,None,1
100608,F,Gold,2
100609,M,None,1
10061,M,None,1
100610,F,Silver,1
100611,M,None,1
100612,M,Bronze,2
100613,F,Silver,2
100614,M,Silver,3
100615,M,Silver,1
100616,M,None,1
100617,F,None,1
100618,M,None,2
100619,F,Bronze,3
10062,F,Silver,1
100620,M,Bronze,1
100621,M,None,1
100622,F,Gold,1
100623,F,None,1
100624,M,None,1
100625,M,None,3
100626,F,Gold,4
100627,F,None,4
100628,M,Gold,3
100629,M,Silver,1
10063,F,None,1
100630,M,None,1
100631,M,Silver,2
100632,F,None,1
100633,F,Gold,4
100634,F,None,1
100635,F,Bronze,1
100636,M,None,1
100637,M,Bronze,1
100638,M,None,1
100639,F,Silver,1
10064,F,None,2
100640,F,None,1
100642,M,None,1
100643,M,None,1
100644,M,None,1
100645,M,None,3
100646,M,None,1
100647,M,None,1
100648,M,None,1
100649,M,None,1
10065,M,None,2
100650,F,None,1
100651,M,Gold,1
100652,M,Bronze,1
100653,M,Gold,1
100654,M,None,1
100655,M,Silver,1
100656,M,Bronze,2
100657,M,None,1
100658,M,None,2
100659,M,None,1
10066,M,None,2
100660,F,None,1
100662,F,None,1
100663,M,None,1
100664,M,None,1
100665,M,None,1
100666,M,None,2
100667,M,None,1
100668,M,None,2
100669,M,None,1
10067,M,None,1
100670,M,None,1
100671,M,None,1
100672,M,None,1
100673,F,None,1
100674,M,Bronze,1
100675,M,None,1
100676,M,None,1
100678,M,Gold,1
100679,M,None,3
10068,M,None,1
100680,M,Bronze,2
100681,M,None,1
100682,M,Gold,4
100683,F,Bronze,1
100684,M,None,1
100685,M,None,1
100686,F,None,2
100687,M,None,1
100688,F,None,2
100689,M,None,2
10069,M,None,1
